,station id,station name,station latitude,station longitude
2167,3359.0,E 68 St & Madison Ave,40.7691572,-73.96703464
2172,3551.0,3 Ave & E 112 St,40.795508,-73.941606
2188,3231.0,E 67 St & Park Ave,40.76780080148132,-73.96592080593109
2192,3157.0,East End Ave & E 86 St,40.77518615,-73.94446054
2226,469.0,Broadway & W 53 St,40.76344058,-73.98268129
2278,400.0,Pitt St & Stanton St,40.71926081,-73.98178024
2286,3289.0,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178
2301,3534.0,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692
2335,3327.0,3 Ave & E 100 St,40.7877214,-73.94728331
2412,341.0,Stanton St & Mangin St,40.71782143,-73.97628939
2520,3708.0,W 13 St & 5 Ave,40.735445,-73.99431
2536,3307.0,West End Ave & W 94 St,40.7941654,-73.974124
2537,3284.0,E 88 St & Park Ave,40.781410700190015,-73.95595908164978
2561,3235.0,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882
2571,173.0,Broadway & W 49 St,40.76068327096592,-73.9845272898674
2580,2023.0,E 55 St & Lexington Ave,40.75968085,-73.97031366
2685,3529.0,Lenox Ave & W 130 St,40.8107922,-73.9430681
2692,3341.0,Central Park West & W 102 St,40.795346,-73.96186
2706,3641.0,Broadway & W 25 St,40.74286877312112,-73.98918628692627
2722,259.0,South St & Whitehall St,40.70122128,-74.01234218
2763,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707
2830,327.0,Vesey Pl & River Terrace,40.7153379,-74.01658354
2858,3145.0,E 84 St & Park Ave,40.77862688,-73.95772073
2912,3623.0,W 120 St & Claremont Ave,40.8109494,-73.9634
3064,3690.0,Park Pl & Church St,40.71334184275907,-74.00935515761375
3069,496.0,E 16 St & 5 Ave,40.73726186,-73.99238967
3158,3309.0,E 97 St & 3 Ave,40.7859201,-73.94860294
3191,3500.0,E 115 St & Madison Ave,40.7989445,-73.944846
3202,337.0,Old Slip & Front St,40.7037992,-74.00838676
3206,522.0,E 51 St & Lexington Ave,40.75714758,-73.97207836
3265,482.0,W 15 St & 7 Ave,40.73935542,-73.99931783
3308,356.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
3557,500.0,Broadway & W 51 St,40.76228826,-73.98336183
3592,3539.0,W 116 St & Amsterdam Ave,40.8067581,-73.9607082
3779,3543.0,Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917358
3893,304.0,Broadway & Battery Pl,40.70463334,-74.01361706
4356,3437.0,Riverside Dr & W 91 St,40.79313480986663,-73.97700369358063
4540,3356.0,Amsterdam Ave & W 66 St,40.7746671,-73.98470567
4565,3378.0,E 76 St & Park Ave,40.773763,-73.96222088
6417,3520.0,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475
6818,3355.0,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115
6990,3542.0,Amsterdam Ave & W 119 St,40.8086249,-73.9596214
7173,3441.0,10 Hudson Yards,40.752957,-74.00264
8263,3793.0,Stuyvesant Walk & 1 Av Loop,40.732339777151054,-73.97898383438587
8762,3509.0,Lenox Ave & W 115 St,40.8011939,-73.9500739
9063,3254.0,Soissons Landing,40.69231660719192,-74.01486575603485
10495,3540.0,Morningside Ave & W 123 St,40.81,-73.9551508
11197,3629.0,Adam Clayton Powell Blvd & W 126 St,40.80949534777948,-73.94776493310928
14450,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132
14528,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235
15643,3299.0,E 98 St & Park Ave,40.78813,-73.95206
17479,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885
